notion_id,recipe_name,raw_text,amount,unit,name,prep_note,optional,group_label,order_index
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,1.5 cups of basmati rice,1.5,cups,basmati rice,,FALSE,,0
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,Whole Garam Masala,,,whole garam masala,,FALSE,,1
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,2 tbsp oil OR ghee,2,tbsp,oil,,FALSE,,2
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,Coconut Milk,,,coconut milk,,FALSE,,3
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,2 tsp ginger garlic paste,2,tsp,ginger garlic paste,,FALSE,,4
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,Handful of Cilantro,,,cilantro,,FALSE,,5
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,1 cup peas,1,cup,peas,,FALSE,,6
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,1 cup carrots,1,cup,carrots,diced,FALSE,,7
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,227g  jumbo pasta shells,227,g,jumbo pasta shells,,FALSE,,0
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,1/2 tbsp olive oil,0.5,tbsp,olive oil,,FALSE,,1
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,75g onion,75,g,onion,,FALSE,,2
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,8 oz Wegmans Milk Pork Italian Sausage,8,oz,wegmans milk pork italian sausage,,FALSE,,3
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,"1 cup spinach, chopped very small.",1,cup,spinach,chopped very small.,FALSE,,4
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,6 Oz Marinara,6,oz,marinara,,FALSE,,5
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,1 cup nonfat ricotta,1,cup,nonfat ricotta,,FALSE,,6
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,3/4 cup mozzarella (separate into 1/2 cup and 1/4 on top),0.75,cup,mozzarella,separate into 1/2 cup and 1/4 on top,FALSE,,7
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,1 egg,1,,egg,,FALSE,,8
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,"Salt, Pepper, Red Pepper Flakes",,,salt,,FALSE,,9
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,"Salt, Pepper, Red Pepper Flakes",,,pepper,,FALSE,,9.01
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,"Salt, Pepper, Red Pepper Flakes",,,red pepper flakes,,FALSE,,9.02
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,"30g peanuts, roughly chopped (optionally: sift to remove any powder peanut bits)",30,g,"peanuts, roughly chopped",optionally: sift to remove any powder peanut bits,FALSE,,1
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,20g scallions,20,g,scallions,,FALSE,,2
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,20g or 1 tbsp ginger garlic paste,20,g,or 1 tbsp ginger garlic paste,,FALSE,,3
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,Chilli flakes,,,chilli flakes,,FALSE,,4
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,"1 egg, beaten",1,,egg,beaten,FALSE,,5
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,350g water,350,g,water,,FALSE,,6
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,5 ml oil,5,ml,oil,,FALSE,,7
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,1 block ramen,1,block,ramen,,FALSE,,8
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,150g�unsalted butter,150,g,unsalted butter,,FALSE,,0
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,100g soft light brown sugar / 100g granulated sugar (or try more brown sugar than light 60/40),100,g,sugar,or try more brown sugar than light 60/40,FALSE,,1
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,2�teaspoons vanilla extract,2,tsp,vanilla extract,,FALSE,,2
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1�egg,1,,egg,,FALSE,,3
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1�egg yolk,1,,egg yolk,,FALSE,,4
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1/2 tsp coffee powder,2-Jan,tsp,coffee powder,,FALSE,,5
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,250�g all purpose�plain flour,250,g,all purpose plain flour,,FALSE,,6
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1 tsp cornstarch,1,tsp,cornstarch,,FALSE,,7
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1 teaspoon�salt,1,,teaspoon salt,,FALSE,,8
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1/2�teaspoon baking soda,1,,⁄2 teaspoon baking soda,,FALSE,,9
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1/2 tsp baking powder,2-Jan,tsp,baking powder,,FALSE,,10
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1/4 teaspoon ground cinnamon,4-Jan,tsp,ground cinnamon,,TRUE,,11
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,"200g�chocolate, chopped (I used a mix of both dark and milk chocolate, but use whatever you prefer)",200,g,chocolate,"chopped, I used a mix of both dark and milk chocolate, but use whatever you prefer",FALSE,,12
